-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2021 
Location: Latitude  -50.0   Longitude 170.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                    MERRA-2 Surface Pressure (kPa) 
TS                    MERRA-2 Earth Skin Temperature (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
WD50M                 MERRA-2 Wind Direction at 50 Meters (Degrees) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
T2MDEW                MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE             MERRA-2 Temperature at 2 Meters Range (C) 
WS10M_MAX             MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN             MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS50M_MAX             MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN             MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS10M_RANGE           MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M_RANGE           MERRA-2 Wind Speed at 50 Meters Range (m/s) 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,100.8,100.94,101.59,100.64,101.56,101.0,100.85,100.84,99.55,100.67,100.95,100.82,100.85
PS,1982,100.15,100.85,101.58,101.71,100.41,101.83,100.86,100.71,100.91,100.09,99.78,100.23,100.75
PS,1983,99.87,101.03,100.46,101.24,100.52,100.68,101.47,101.15,100.33,101.16,101.04,100.48,100.78
PS,1984,100.69,101.3,101.57,100.57,101.29,101.01,101.14,100.95,101.2,100.53,100.59,100.68,100.96
PS,1985,100.28,101.07,101.33,101.86,101.9,101.09,100.76,101.09,101.01,101.33,101.04,101.09,101.15
PS,1986,100.95,100.87,101.39,100.55,100.83,100.35,100.37,101.54,100.57,100.82,100.67,101.16,100.84
PS,1987,100.42,100.78,101.14,100.78,101.19,100.84,101.32,101.3,99.9,100.82,100.78,100.56,100.82
PS,1988,100.9,100.4,100.69,101.76,100.27,100.86,100.68,100.76,100.62,99.12,100.76,101.08,100.66
PS,1989,101.18,101.04,100.85,101.29,101.25,101.01,101.32,101.63,101.86,100.47,100.76,100.53,101.1
PS,1990,100.47,101.3,100.79,100.65,99.83,100.95,100.87,100.58,101.05,100.75,100.78,100.01,100.66
PS,1991,100.44,100.51,101.57,100.55,100.64,100.7,100.73,99.96,100.27,100.15,100.16,100.94,100.55
PS,1992,100.91,100.49,100.04,101.62,100.72,100.82,100.62,99.89,100.56,101.13,101.31,101.04,100.76
PS,1993,100.19,101.12,101.08,101.39,100.92,99.86,101.87,100.97,101.09,100.3,100.66,101.13,100.88
PS,1994,100.47,101.45,101.24,100.67,100.21,100.99,100.8,100.24,99.84,100.34,99.99,100.65,100.57
PS,1995,101.37,101.14,100.28,101.53,101.03,100.66,99.48,101.0,101.04,100.58,100.66,100.4,100.76
PS,1996,101.72,101.03,101.01,101.02,100.47,100.8,101.5,100.32,100.73,100.66,99.82,100.61,100.81
PS,1997,101.52,100.75,100.94,100.53,101.39,101.48,100.87,100.87,101.46,100.22,99.64,100.48,100.85
