-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2021 
Location: Latitude  -25.0   Longitude 15.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 336.36 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                    MERRA-2 Surface Pressure (kPa) 
TS                    MERRA-2 Earth Skin Temperature (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
WD50M                 MERRA-2 Wind Direction at 50 Meters (Degrees) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
T2MDEW                MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE             MERRA-2 Temperature at 2 Meters Range (C) 
WS10M_MAX             MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN             MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS50M_MAX             MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN             MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS10M_RANGE           MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M_RANGE           MERRA-2 Wind Speed at 50 Meters Range (m/s) 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,97.25,97.2,97.29,97.43,97.65,97.98,97.92,97.84,97.71,97.44,97.37,97.33,97.54
PS,1982,97.18,97.13,97.33,97.46,97.65,97.94,98.05,97.86,97.63,97.49,97.32,97.29,97.53
PS,1983,97.22,97.3,97.35,97.4,97.6,97.86,97.9,97.97,97.66,97.49,97.52,97.32,97.55
PS,1984,97.14,97.03,97.16,97.43,97.63,97.81,97.86,97.78,97.57,97.52,97.27,97.18,97.45
PS,1985,97.18,97.17,97.24,97.42,97.62,97.96,97.99,97.85,97.62,97.38,97.31,97.22,97.5
PS,1986,97.18,97.15,97.27,97.38,97.56,97.84,98.06,97.8,97.69,97.57,97.4,97.31,97.52
PS,1987,97.31,97.24,97.24,97.47,97.56,97.97,97.82,97.8,97.72,97.49,97.37,97.36,97.53
PS,1988,97.2,97.09,97.32,97.43,97.66,97.78,97.93,97.77,97.6,97.36,97.38,97.28,97.49
PS,1989,97.23,97.25,97.2,97.36,97.65,97.92,97.96,97.8,97.52,97.5,97.32,97.25,97.5
PS,1990,97.14,97.24,97.38,97.43,97.64,97.92,97.96,97.84,97.66,97.47,97.36,97.28,97.53
PS,1991,97.24,97.24,97.26,97.46,97.64,97.88,98.06,97.91,97.67,97.51,97.41,97.25,97.55
PS,1992,97.16,97.31,97.22,97.44,97.61,97.88,98.02,97.98,97.58,97.54,97.34,97.23,97.53
PS,1993,97.16,97.19,97.27,97.45,97.61,97.96,98.0,97.9,97.61,97.38,97.22,97.21,97.5
PS,1994,97.1,97.23,97.35,97.39,97.66,97.98,98.03,97.84,97.61,97.34,97.32,97.26,97.51
PS,1995,97.27,97.22,97.23,97.36,97.58,97.83,97.82,97.77,97.66,97.48,97.31,97.37,97.49
PS,1996,97.06,97.08,97.18,97.37,97.59,97.86,97.99,97.85,97.64,97.44,97.36,97.28,97.48
