-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2021 
Location: Latitude  20.0   Longitude 90.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                    MERRA-2 Surface Pressure (kPa) 
TS                    MERRA-2 Earth Skin Temperature (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
WD50M                 MERRA-2 Wind Direction at 50 Meters (Degrees) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
T2MDEW                MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE             MERRA-2 Temperature at 2 Meters Range (C) 
WS10M_MAX             MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN             MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS50M_MAX             MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN             MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS10M_RANGE           MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M_RANGE           MERRA-2 Wind Speed at 50 Meters Range (m/s) 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,101.55,101.33,101.2,100.87,100.58,100.13,100.26,100.16,100.7,100.95,101.11,101.6,100.87
PS,1982,101.53,101.28,101.1,100.88,100.7,100.24,100.21,100.14,100.62,101.14,101.31,101.52,100.89
PS,1983,101.62,101.37,101.11,100.85,100.68,100.33,100.36,100.36,100.61,100.83,101.28,101.5,100.91
PS,1984,101.37,101.24,101.04,100.72,100.44,99.94,100.26,100.16,100.71,100.94,101.36,101.29,100.79
PS,1985,101.47,100.94,100.99,100.63,100.39,100.0,100.37,100.21,100.59,100.95,101.23,101.45,100.77
PS,1986,101.5,101.32,101.04,100.83,100.54,100.1,100.3,100.27,100.66,101.1,101.29,101.58,100.88
PS,1987,101.61,101.5,101.13,100.93,100.81,100.17,100.27,100.35,100.65,101.06,101.12,101.56,100.93
PS,1988,101.44,101.26,100.96,100.9,100.4,100.22,100.31,100.37,100.54,100.8,101.2,101.53,100.83
PS,1989,101.36,101.3,101.03,100.73,100.4,100.23,100.31,100.25,100.58,100.85,101.43,101.6,100.84
PS,1990,101.41,101.33,101.22,100.77,100.49,100.08,100.18,100.37,100.6,101.0,101.18,101.55,100.85
PS,1991,101.46,101.37,101.04,100.75,100.65,100.27,100.09,100.19,100.68,100.85,101.43,101.54,100.86
PS,1992,101.7,101.34,101.11,100.86,100.58,100.19,100.27,100.32,100.56,100.9,101.36,101.62,100.9
PS,1993,101.5,101.39,101.17,100.94,100.55,100.26,100.15,100.29,100.61,101.09,101.29,101.52,100.89
PS,1994,101.37,101.24,101.1,100.85,100.53,100.03,100.01,100.21,100.59,101.12,101.42,101.58,100.83
PS,1995,101.58,101.36,101.1,100.85,100.48,100.16,100.14,100.25,100.53,100.89,101.05,101.64,100.83
PS,1996,101.44,101.33,100.92,100.81,100.51,100.35,100.13,100.38,100.39,100.88,101.12,101.43,100.81
PS,1997,101.51,101.26,101.16,101.03,100.53,100.29,100.07,100.21,100.74,101.27,101.37,101.53,100.91
PS,1998,101.53,101.47,101.21,100.95,100.46,100.2,100.27,100.47,100.57,100.79,101.03,101.43,100.86
PS,1999,101.32,101.37,100.75,100.62,100.33,100.21,100.07,100.27,100.54,100.8,101.22,101.45,100.74
PS,2000,101.37,101.25,101.0,100.67,100.45,100.2,100.12,100.22,100.56,100.74,101.21,101.37,100.76
PS,2001,101.32,101.13,101.02,100.86,100.37,100.11,100.12,100.21,100.59,100.86,101.3,101.61,100.79
PS,2002,101.49,101.51,101.08,100.84,100.35,100.24,100.16,100.27,100.62,100.99,101.19,101.47,100.85
PS,2003,101.61,101.39,101.17,100.87,100.47,100.18,100.29,100.26,100.52,100.97,101.35,101.52,100.88
PS,2004,101.49,101.36,101.05,100.81,100.38,100.3,100.28,100.16,100.66,101.17,101.41,101.49,100.88
PS,2005,101.45,101.36,101.18,101.0,100.56,100.1,100.23,100.24,100.55,100.98,101.23,101.32,100.85
PS,2006,101.42,101.3,101.04,100.79,100.56,100.29,100.09,100.2,100.61,101.09,101.29,101.52,100.85
PS,2007,101.61,101.39,101.14,100.93,100.43,100.22,100.24,100.2,100.41,100.85,101.17,101.37,100.83
PS,2008,101.36,101.36,101.02,100.77,100.38,100.2,100.22,100.32,100.51,100.94,101.24,101.4,100.81
PS,2009,101.52,101.18,101.02,100.74,100.43,100.18,100.08,100.39,100.49,100.91,101.25,101.47,100.8
PS,2010,101.57,101.35,101.08,100.86,100.5,100.33,100.37,100.47,100.6,100.69,101.16,101.14,100.84
PS,2011,101.33,101.24,101.07,100.96,100.52,100.09,100.25,100.34,100.4,100.9,101.27,101.37,100.81
PS,2012,101.41,101.18,101.02,100.82,100.44,100.06,100.14,100.3,100.58,101.01,101.16,101.34,100.79
PS,2013,101.51,101.33,101.14,100.83,100.39,100.14,100.05,100.3,100.51,100.96,101.23,101.39,100.81
PS,2014,101.61,101.28,101.21,100.88,100.64,100.12,100.08,100.39,100.59,101.09,101.2,101.44,100.88
PS,2015,101.54,101.44,101.3,101.0,100.64,100.35,100.17,100.43,100.64,101.1,101.34,101.56,100.96
PS,2016,101.56,101.47,101.2,100.77,100.53,100.38,100.34,100.23,100.54,100.75,101.19,101.37,100.86
PS,2017,101.46,101.44,101.1,100.85,100.59,100.24,100.26,100.37,100.64,100.84,101.17,101.43,100.86
PS,2018,101.31,101.37,101.08,100.92,100.67,100.19,100.04,100.09,100.64,101.13,101.37,101.46,100.85
PS,2019,101.6,101.46,101.21,100.91,100.63,100.29,100.27,100.2,100.71,101.1,101.21,101.57,100.93
PS,2020,101.54,101.57,101.2,101.05,100.65,100.4,100.43,100.18,100.53,100.66,101.33,101.41,100.91
PS,2021,101.36,101.34,101.06,100.95,100.57,100.36,100.24,100.43,100.53,100.85,101.17,101.51,100.86
TS,1981,24.49,24.9,26.89,28.08,29.07,29.05,28.38,28.02,28.83,28.73,28.3,26.1,27.58
TS,1982,25.31,25.99,26.92,27.15,28.82,28.58,28.51,28.38,29.65,29.77,28.08,26.09,27.78
TS,1983,25.2,25.47,27.01,28.53,29.58,30.01,28.91,28.59,28.85,28.93,28.1,25.9,27.94
TS,1984,24.34,24.6,26.09,27.58,27.22,29.04,27.82,28.33,28.83,29.23,27.08,25.05,27.11
